,1,2,3,4
Demon Slayer: Kimetsu no Yaiba,5.0,5.0,4.0,3.0
Attack on Titan,5.0,5.0,3.0,5.0
One Piece,0.0,3.0,0.0,0.0
JoJo's Bizarre Adventure,4.0,0.0,5.0,5.0
Cowboy Bebop,0.0,0.0,0.0,0.0
My Hero Academia,5.0,4.0,0.0,0.0
Naruto: Shippûden,5.0,2.0,0.0,5.0
Naruto,5.0,5.0,0.0,5.0
Masters of the Universe: Revelation,0.0,0.0,0.0,0.0
Mushoku Tensei: Jobless Reincarnation,0.0,0.0,0.0,0.0
Death Note,5.0,0.0,0.0,0.0
Hunter x Hunter,0.0,0.0,0.0,0.0
Jujutsu Kaisen,0.0,0.0,0.0,0.0
Black Clover,5.0,0.0,0.0,0.0
Fullmetal Alchemist: Brotherhood,5.0,0.0,0.0,5.0
Boruto: Naruto Next Generations,0.0,2.0,0.0,2.0
Castlevania,0.0,0.0,0.0,0.0
One Punch Man,5.0,5.0,0.0,0.0
High School DxD,0.0,0.0,0.0,0.0
Bleach,0.0,0.0,0.0,0.0
Tokyo Revengers,0.0,0.0,0.0,0.0
Ranking of Kings,0.0,0.0,0.0,0.0
Super Crooks,0.0,0.0,0.0,0.0
Dragon Ball Z,0.0,0.0,0.0,0.0
Haikyuu!!,0.0,0.0,0.0,0.0
Star Wars: Visions,0.0,0.0,0.0,0.0
Neon Genesis Evangelion,0.0,0.0,0.0,0.0
Dota: Dragon's Blood,0.0,0.0,0.0,0.0
Sword Art Online,0.0,0.0,0.0,0.0
Vinland Saga,3.0,0.0,0.0,0.0
Code Geass,5.0,0.0,0.0,0.0
The Seven Deadly Sins,2.0,0.0,0.0,0.0
Komi Can't Communicate,0.0,0.0,0.0,0.0
Gintama,0.0,0.0,0.0,0.0
Shaman King,0.0,0.0,0.0,0.0
Pokémon,0.0,0.0,0.0,0.0
Berserk,0.0,0.0,0.0,0.0
Aggretsuko,0.0,0.0,0.0,0.0
Fairy Tail,0.0,0.0,0.0,0.0
Monster,0.0,0.0,0.0,0.0
Steins;Gate,0.0,2.0,0.0,0.0
The Promised Neverland,0.0,0.0,0.0,0.0
Dragon Ball,0.0,0.0,0.0,0.0
"Re: Zero, Starting Life in Another World",0.0,0.0,0.0,0.0
Fruits Basket,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
Mob Psycho 100,0.0,0.0,0.0,0.0
Ben 10,0.0,0.0,0.0,0.0
Dragon Ball Super,0.0,0.0,0.0,0.0
That Time I Got Reincarnated as a Slime,0.0,0.0,0.0,0.0
To Your Eternity,0.0,0.0,0.0,0.0
Parasyte: The Maxim,0.0,0.0,0.0,0.0
Your Lie in April,0.0,0.0,0.0,0.0
Food Wars,0.0,0.0,0.0,0.0
Assassination Classroom,0.0,0.0,0.0,0.0
The Testament of Sister New Devil,0.0,0.0,0.0,0.0
The Rising of the Shield Hero,0.0,0.0,0.0,0.0
Darling in the Franxx,0.0,0.0,0.0,0.0
Rascal Does Not Dream of Bunny Girl Senpai,0.0,0.0,5.0,0.0
Akame ga Kill!,0.0,0.0,0.0,0.0
Fullmetal Alchemist,0.0,0.0,0.0,0.0
Baki,0.0,0.0,0.0,0.0
Kaguya-sama: Love is War,0.0,0.0,0.0,0.0
Bungou Stray Dogs,0.0,0.0,0.0,0.0
Dr. Stone,0.0,0.0,0.0,0.0
Samurai Champloo,0.0,0.0,5.0,0.0
Super Dragon Ball Heroes,0.0,0.0,0.0,0.0
Resident Evil: Infinite Darkness,0.0,0.0,0.0,0.0
Overlord,0.0,0.0,0.0,0.0
Kakegurui,0.0,0.0,0.0,0.0
Horimiya,0.0,0.0,0.0,0.0
Is It Wrong to Try to Pick Up Girls in a Dungeon?,0.0,0.0,0.0,0.0
Fire Force,0.0,0.0,0.0,0.0
Prison School,0.0,0.0,0.0,0.0
Beastars,1.0,0.0,0.0,0.0
Kuroko's Basketball,0.0,0.0,0.0,0.0
Ben 10: Ultimate Alien,0.0,0.0,0.0,0.0
Ben 10: Alien Force,0.0,0.0,0.0,0.0
Detective Conan,0.0,0.0,0.0,0.0
Goblin Slayer,0.0,0.0,0.0,0.0
Highschool of the Dead,0.0,0.0,0.0,0.0
Record of Ragnarok,3.0,0.0,0.0,0.0
Psycho-Pass,0.0,0.0,0.0,0.0
Monster Musume: Everyday Life with Monster Girls,0.0,0.0,0.0,0.0
Redo of Healer,0.0,0.0,0.0,0.0
Ben 10: Omniverse,0.0,0.0,0.0,0.0
Inuyasha,0.0,0.0,0.0,0.0
Domestic Girlfriend,0.0,0.0,0.0,0.0
Konosuba: God's Blessing on This Wonderful World!,0.0,0.0,0.0,0.0
Black Lagoon,0.0,0.0,0.0,0.0
Made in Abyss,0.0,0.0,0.0,0.0
Kill la Kill,0.0,0.0,0.0,0.0
The Disastrous Life of Saiki K.,0.0,0.0,0.0,0.0
Gurren Lagann,0.0,0.0,0.0,0.0
Yu-Gi-Oh!,0.0,0.0,0.0,0.0
Dororo,0.0,0.0,0.0,0.0
Banana Fish,0.0,0.0,0.0,0.0
Black Butler,0.0,0.0,0.0,0.0
Fate/Zero,0.0,0.0,0.0,0.0
How NOT to Summon a Demon Lord,0.0,0.0,0.0,0.0
Rent-a-Girlfriend,0.0,0.0,0.0,0.0
The Quintessential Quintuplets,0.0,0.0,0.0,0.0
Another,0.0,0.0,0.0,0.0
Baki Hanma,0.0,0.0,0.0,0.0
High-Rise Invasion,0.0,0.0,0.0,0.0
Vivy: Fluorite Eye's Song,0.0,0.0,0.0,0.0
Future Diary,0.0,0.0,0.0,0.0
Odd Taxi,0.0,0.0,0.0,0.0
Noragami,0.0,0.0,0.0,0.0
Yu Yu Hakusho: Ghost Files,0.0,0.0,0.0,0.0
Toradora!,0.0,0.0,0.0,0.0
Miss Kobayashi's Dragon Maid,0.0,0.0,0.0,0.0
Sonic X,0.0,0.0,0.0,0.0
Transformers: War for Cybertron Trilogy,0.0,0.0,0.0,0.0
Pacific Rim: The Black,0.0,0.0,0.0,0.0
Ghost in the Shell: Stand Alone Complex,0.0,0.0,0.0,0.0
Sailor Moon,0.0,0.0,0.0,0.0
My Teen Romantic Comedy SNAFU,0.0,0.0,0.0,0.0
Arifureta: From Commonplace to World's Strongest,0.0,0.0,0.0,0.0
The Devil Is a Part-Timer!,0.0,0.0,0.0,0.0
Dorohedoro,0.0,0.0,0.0,0.0
RWBY,0.0,0.0,0.0,0.0
Tokyo Ghoul: re,0.0,0.0,0.0,0.0
The Misfit of Demon King Academy,0.0,0.0,0.0,0.0
Kengan Ashura,0.0,0.0,0.0,0.0
Trigun,0.0,0.0,0.0,0.0
Fate/stay night: Unlimited Blade Works,0.0,0.0,0.0,0.0
"Why the Hell are You Here, Teacher!?",0.0,0.0,0.0,0.0
Heaven Official's Blessing,0.0,0.0,0.0,0.0
The God of High School,0.0,0.0,0.0,0.0
Dragon Ball Z Kai,0.0,0.0,0.0,0.0
Blue Exorcist,0.0,0.0,0.0,0.0
Legend of the Galactic Heroes,0.0,0.0,0.0,0.0
Star Wars Resistance,0.0,0.0,0.0,0.0
Rurouni Kenshin,0.0,0.0,0.0,0.0
Sekirei,0.0,0.0,0.0,0.0
Owari no serafu,0.0,0.0,0.0,0.0
Date a Live,0.0,0.0,0.0,0.0
Trese,0.0,0.0,0.0,0.0
Yasuke,0.0,0.0,0.0,0.0
Steins;Gate 0,0.0,0.0,0.0,0.0
Kingdom,0.0,0.0,0.0,0.0
Classroom of the Elite,0.0,0.0,0.0,0.0
